ClimdivNum,ClimdivNumName,ClimdivName
1,1-West Olympic Coast,West Olympic Coast
2,2-North East Olympic San Juan,North East Olympic San Juan
3,3-Puget Sound Lowlands,Puget Sound Lowlands
4,4-East Olympic Cascade Foothills,East Olympic Cascade Foothills
5,5-Cascade Mountains West,Cascade Mountains West
6,6-East Slope Cascades,East Slope Cascades
7,7-Okanogan Big Bend,Okanogan Big Bend
8,8-Central Basin,Central Basin
9,9-Northeastern,Northeastern
10,10-Palouse Blue Mountains,Palouse Blue Mountains
