WRIA_NR,WRIA_ACRES,WRIA_NM,LONGITUDE,LATITUDE,,
33,462577.8953,Lower Snake,-118.6511496,46.44498624,,
18,651075.4204,Elwha - Dungeness,-123.3275086,48.02593205,,
28,316931.0325,Salmon - Washougal,-122.3762519,45.6825967,,
31,1058800.767,Rock - Glade,-119.856751,45.9781404,,
12,114928.144,Chambers - Clover,-122.4739516,47.15054365,,
24,815130.987,Willapa,-123.7901,46.60220919,,
7,1222290.783,Snohomish,-121.6839183,47.77522056,,
60,656426.126,Kettle,-118.5725953,48.8495559,,
32,907780.6075,Walla Walla,-118.3132056,46.19922264,,
56,291000.3482,Hangman,-117.28058,47.45612588,,
9,364530.8091,Duwamish - Green,-121.9291331,47.32064589,,
40,539179.4894,Alkali - Squilchuck,-119.938724,46.89237697,,
38,707018.7313,Naches,-121.1328104,46.7903796,,
3,472950.9025,Lower Skagit - Samish,-122.3388356,48.48571697,,
43,1185596.133,Upper Crab-Wilson,-118.506561,47.52239165,,
48,1359169.775,Methow,-120.2795957,48.57482887,,
39,1368957.861,Upper Yakima,-120.7390011,47.09597184,,
19,503274.4669,Lyre - Hoko,-124.1542592,48.23414097,,
51,144375.8428,Nespelem,-118.938986,48.23445691,,
50,577307.3161,Foster,-119.4689843,48.00245914,,
20,960478.5249,Soleduc,-124.3149106,47.96130626,,
57,183434.8489,Middle Spokane,-117.1589201,47.75308808,,
29,576997.013,Wind - White Salmon,-121.6755701,45.89547137,,
34,1765473.604,Palouse,-117.6635009,47.0411567,,
11,491308.1947,Nisqually,-122.2761126,46.85530415,,
2,398410.6138,San Juan,-122.977537,48.5632494,,
45,878423.402,Wenatchee,-120.774793,47.70581224,,
6,332529.5427,Island,-122.5763359,48.16411315,,
22,939467.1545,Lower Chehalis,-123.712702,47.12515992,,
26,1594947.985,Cowlitz,-122.2100147,46.43930772,,
8,447085.7848,Cedar - Sammamish,-122.0962378,47.59927562,,
61,368826.0878,Upper Lake Roosevelt,-117.7922347,48.84012705,,
62,789790.043,Pend Oreille,-117.275593,48.58617344,,
13,186924.3592,Deschutes,-122.7304734,46.95219722,,
54,566233.2591,Lower Spokane,-117.8640803,47.84064905,,
15,631193.553,Kitsap,-122.6829352,47.51913262,,
23,830805.1453,Upper Chehalis,-123.0370609,46.71096196,,
44,730126.8099,Moses Coulee,-119.8438418,47.58519448,,
59,652150.5734,Colville,-117.7776173,48.39378545,,
27,837423.2507,Lewis,-122.2540286,46.02590838,,
52,628471.3491,Sanpoil,-118.7967193,48.43300626,,
14,244172.2123,Kennedy - Goldsborough,-123.0404511,47.22220238,,
36,1058745.853,Esquatzel Coulee,-119.0281966,46.67957638,,
16,409034.2612,Skokomish - Dosewallips,-123.2093955,47.56125669,,
4,1567120.385,Upper Skagit,-121.2828638,48.53493533,,
49,1342476.882,Okanogan,-119.5367364,48.58615162,,
53,326284.5532,Lower Lake Roosevelt,-118.5302324,47.85830975,,
55,433370.9987,Little Spokane,-117.3473259,47.96409607,,
30,922913.6162,Klickitat,-121.1132275,46.01756319,,
10,673203.4116,Puyallup - White,-121.9146328,47.06177032,,
5,461062.8173,Stillaguamish,-121.9068014,48.22633018,,
41,1621373.203,Lower Crab,-119.2480842,47.09342461,,
46,305757.467,Entiat,-120.4658074,47.84356195,,
25,323109.4479,Grays - Elochoman,-123.3585281,46.29676133,,
42,484483.0325,Grand Coulee,-119.2458424,47.63924582,,
21,863608.9712,Queets - Quinault,-124.0138156,47.49745167,,
1,1036786.46,Nooksack,-122.2690151,48.84443375,,
37,1862427.128,Lower Yakima,-120.2771294,46.34646956,,
35,1440035.873,Middle Snake,-117.524508,46.38990172,,
47,668135.928,Chelan,-120.5173097,48.16104075,,
58,707436.6531,Middle Lake Roosevelt,-118.3049137,48.29181472,,
17,400917.3921,Quilcene - Snow,-122.8596989,47.97095762,,
