mm-dd,minflow,,,,,,,,,
1-Jan,820,,,,,,,,,
15-Jan,820,,,,,,,,,
1-Feb,820,,,,,,,,,
15-Feb,800,,,,,,,,,
1-Mar,800,,,,,,,,,
15-Mar,1040,,,,,,,,,
1-Apr,1350,,,,,,,,,
15-Apr,1750,,,,,,,,,
1-May,2200,,,,,,,,,
15-May,2800,,,,,,,,,
1-Jun,3500,,,,,,,,,
15-Jun,2400,,,,,,,,,
1-Jul,1700,,,,,,,,,
15-Jul,1200,,,,,,,,,
1-Aug,800,,,,,,,,,
15-Aug,700,,,,,,,,,
1-Sep,700,,,,,,,,,
15-Sep,700,,,,,,,,,
1-Oct,700,,,,,,,,,
15-Oct,700,,,,,,,,,
1-Nov,800,,,,,,,,,
15-Nov,800,,,,,,,,,
1-Dec,800,,,,,,,,,
15-Dec,800,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
